Organization,Repository,Pull Request Id,Title,Source Branch,Target Branch,Created At,Closed At,Duration (Minutes),State,Author,Merged by,Commits,Changed Files,Changed Line,Code Inspection,Reviewers,Reviews,Labels,Yes_review,Same_Author_Merger
elastic,elasticsearch,41516,Remove the test which is testing java and joda api Backport(#41493),bp/7.0/date-time-unit-test-removal,7,2019-04-25 16:28:03,2019-04-25 19:21:26,173,closed,pgomulka,pgomulka,1,1,19,0,0,0,">test-failure, backport",0,1
elastic,elasticsearch,41517,Remove Version 6 pre-release constants,remove-6.0.x-constant,master,2019-04-25 16:31:14,2019-05-09 05:03:12,19471,closed,cbuescher,cbuescher,7,36,365,0,2,23,":Core/Infra/Core, >refactoring, v8.0.0",1,1
elastic,elasticsearch,41518,Remove the test which is testing java and joda api backport(#41493),bp/7.x/date-time-unit-test-removal,7.x,2019-04-25 16:36:22,2019-04-25 19:21:02,164,closed,pgomulka,pgomulka,1,1,20,0,0,0,">test-failure, backport",0,1
elastic,elasticsearch,41522,Update resiliency status page for 7.0,update-resiliency-70,master,2019-04-25 18:17:55,2019-04-25 20:09:45,111,closed,ywelsch,ywelsch,3,1,71,0,1,1,":Distributed/Distributed, >docs",1,1
elastic,elasticsearch,41523,Name Snapshot Data Blobs by UUID (#40652),40652-7.x,7.x,2019-04-25 18:42:52,2019-04-25 20:18:03,95,closed,original-brownbear,original-brownbear,1,1,38,0,1,1,":Distributed/Snapshot/Restore, >non-issue, >refactoring, backport",1,1
elastic,elasticsearch,41524,Name Snapshot Data Blobs by UUID (#40652),40652-7.0,7,2019-04-25 18:43:42,2019-04-25 20:18:22,94,closed,original-brownbear,original-brownbear,1,1,38,0,1,1,":Distributed/Snapshot/Restore, >non-issue, >refactoring, backport",1,1
elastic,elasticsearch,41525,Name Snapshot Data Blobs by UUID (#40652),40652-6.7,6.7,2019-04-25 18:45:49,2019-04-25 20:29:14,103,closed,original-brownbear,original-brownbear,1,1,38,0,1,1,":Distributed/Snapshot/Restore, >non-issue, >refactoring, backport",1,1
elastic,elasticsearch,41527,Introduce Delegating ActionListener Wrappers (#40129),40129-7.x,7.x,2019-04-25 20:43:23,2019-04-25 23:05:05,141,closed,original-brownbear,original-brownbear,1,24,628,0,1,2,":Core/Infra/Core, >non-issue, >refactoring, backport",1,1
elastic,elasticsearch,41529,[ML] Adds progress reporting for transforms (#41278),feature/ml-df-calculate-docs-left-7.x,7.x,2019-04-25 21:57:53,2019-04-26 01:23:13,205,closed,benwtrent,benwtrent,1,28,1548,0,1,2,":ml/Data Frame, >non-issue, backport, v7.2.0",1,1
elastic,elasticsearch,41530,[FEATURE][ML] Client-side API methods for DataFrame analytics config.,df-analyticsconfig-methods,feature-ml-data-frame-analytics,2019-04-25 22:51:47,2019-04-26 19:54:19,1262,closed,przemekwitek,przemekwitek,36,18,929,0,2,12,":ml/Data Frame, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41532,Add enrich processor,enrich_processor,enrich,2019-04-25 23:05:21,2019-05-01 02:42:20,7416,closed,martijnvg,martijnvg,9,7,745,0,5,28,":Core/Features/Ingest, >non-issue",1,1
elastic,elasticsearch,41534,Remove Exists Check from S3 Repository Deletes (#40931),40931-7.x,7.x,2019-04-25 23:20:43,2019-04-26 01:25:04,124,closed,original-brownbear,original-brownbear,1,3,14,0,1,1,":Distributed/Snapshot/Restore, >non-issue, backport",1,1
elastic,elasticsearch,41537,Adapt low-level REST client to java 8,enhancement/rest_client_java_8,master,2019-04-25 23:51:12,2019-05-03 18:15:25,11184,closed,javanna,javanna,3,8,178,0,1,3,":Core/Features/Java Low Level REST Client, >enhancement, backport pending, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41538,Limit complexity of IntervalQueryBuilderTests#testRandomSource(),intervals-exception,master,2019-04-25 23:58:18,2019-04-29 21:19:57,5601,closed,romseygeek,romseygeek,3,1,67,0,2,5,":Search/Search, >test, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41539,[Ml-Dataframe] Update URLs in Data frame client java doc,df-docs,master,2019-04-26 00:58:41,2019-04-26 20:01:22,1142,closed,davidkyle,davidkyle,2,2,46,0,2,3,":ml/Data Frame, >docs, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41540,Reenable bwc tests in master,reenable-bwc,master,2019-04-26 01:25:53,2019-04-26 18:29:23,1023,closed,jimczi,jimczi,3,1,4,0,1,3,":Core/Infra/Build, >test, v8.0.0",1,1
elastic,elasticsearch,41541,Fix search_as_you_type's sub-fields to pick their names from the fullpath,bug/search_as_you_type_multi_fields,master,2019-04-26 01:54:44,2019-04-26 17:18:49,924,closed,jimczi,jimczi,2,2,61,0,1,2,":Search/Mapping, >non-issue, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41542,[DOCS] Note // TESTRESPONSE can't be used immediately after // TESTSETUP,update-readme,master,2019-04-26 01:55:20,2019-04-26 02:58:49,63,closed,jrodewig,jrodewig,1,1,2,0,3,1,":Docs, >docs",1,1
elastic,elasticsearch,41544,fix create-api-keys doc formatting,api-key-doc-fmt,master,2019-04-26 02:28:02,2019-05-03 04:11:24,10183,closed,graphaelli,graphaelli,2,1,6,0,1,1,":Security/Authentication, >docs",1,1
elastic,elasticsearch,41546,Add Restore Operation to SnapshotResiliencyTests (#40634),40634-7.x,7.x,2019-04-26 03:15:29,2019-04-26 16:04:35,769,closed,original-brownbear,original-brownbear,1,1,164,0,1,2,":Distributed/Snapshot/Restore, >test, backport",1,1
